Country_Code,Year,Country_Name,Life_Expectancy,Health_Exp_Per_Capita,Health_Exp_GDP_Pct,Physician_Density,PM2_5
AFG,2019,Afghanistan,62.941,74.0642395,14.83131981,0.214,58.33087223
ALB,2019,Albania,79.467,366.34014893,6.86214113,1.651,15.70470712
ARE,2019,United Arab Emirates,82.596,1962.46728516,4.40291262,2.759,41.95562632
ARG,2019,Argentina,76.847,1011.08013916,10.1555109,4.0685,14.39962389
ARM,2019,Armenia,76.22195122,533.69952393,11.3798008,3.117,32.66182353
AUS,2019,Australia,82.9,5529.19482422,10.21285057,3.827,9.330990316
AUT,2019,Austria,81.89512195,5263.390625,10.48753643,5.291,11.46459378
AZE,2019,Azerbaijan,73.29,199.25746155,4.18188763,3.111,22.02383494
BEL,2019,Belgium,81.99512195,5033.16601563,10.75969219,3.157,11.21437918
BEN,2019,Benin,59.888,28.372015,2.50914454,0.062,46.56252753
BFA,2019,Burkina Faso,60.184,41.05052185,5.36802721,0.091,50.70572336
BGD,2019,Bangladesh,72.625,47.84217072,2.25762248,0.627,50.36452654
BGR,2019,Bulgaria,75.11219512,697.8961792,7.09237671,4.19,17.53802566
BIH,2019,Bosnia and Herzegovina,77.394,546.4508667,8.92544365,2.318,26.71579225
BLR,2019,Belarus,74.22682927,400.11621094,5.86133814,4.434,15.61779259
BOL,2019,Bolivia,67.82,241.34619141,6.88792992,1.078,24.48499244
BRA,2019,Brazil,75.809,868.17248535,9.61449146,2.303,12.34884009
BTN,2019,Bhutan,72.005,115.71811676,3.37511158,0.335,30.05189776
BWA,2019,Botswana,67.167,438.28546143,6.12193203,0.368,19.20354844
CAN,2019,Canada,82.16365854,5103.84130859,11.05897045,2.435,6.226801693
CHE,2019,Switzerland,83.90487805,9646.91308594,11.42588997,4.35,9.450018754
CHL,2019,Chile,80.324,1348.99401855,9.29919815,2.649,22.73239277
CHN,2019,China,77.94,538.99157715,5.3502779,2.258,37.54757537
CIV,2019,Cote d'Ivoire,60.274,68.30471039,3.18916845,0.16,44.33242667
COD,2019,"Congo, Dem. Rep.",60.242,19.20812035,3.508039,0.167,26.33793289
COL,2019,Colombia,76.793,503.53485107,7.77954912,2.304,14.5158658
CRI,2019,Costa Rica,80.296,930.43511963,7.2212491,2.337,13.37664409
CUB,2019,Cuba,77.413,1023.39715576,11.08501148,8.589,20.34311224
CYP,2019,Cyprus,81.454,2093.0612793,7.06576538,3.066,15.00666147
CZE,2019,Czechia,79.22926829,1805.44030762,7.61342955,4.119,14.2336874
DEU,2019,Germany,81.29268293,5488.53955078,11.71595001,4.394,10.63784953
DNK,2019,Denmark,81.45121951,6058.83007813,10.1524353,4.265,9.611972854
DOM,2019,Dominican Republic,73.112,346.12109375,4.23948717,1.433,19.49681819
DZA,2019,Algeria,75.682,242.07002258,5.41731071,0.987,24.38860864
ECU,2019,Ecuador,77.286,484.47195435,7.80768251,2.32,17.76993165
EGY,2019,"Egypt, Arab Rep.",71.213,142.69670105,4.5994668,0.709,67.75290209
ERI,2019,Eritrea,67.306,28.42930794,4.64806461,0.071,36.26612855
ESP,2019,Spain,83.83170732,2713.62255859,9.1348772,4.404,9.353543397
EST,2019,Estonia,78.64634146,1599.3503418,6.81699181,3.469,6.844825147
ETH,2019,Ethiopia,65.741,25.93511963,3.24287128,0.051,28.68769463
FIN,2019,Finland,81.98292683,4459.9296875,9.17142677,3.567,5.378670328
FRA,2019,France,82.82682927,4508.76074219,11.09938431,3.31,9.825246005
GAB,2019,Gabon,67.337,205.99945068,2.7768569,0.61,27.52418958
GBR,2019,United Kingdom,81.36912195,4258.63476563,9.95388126,2.942,9.945698693
GEO,2019,Georgia,74.165,306.46075439,6.59411573,7.503,17.61830215
GHA,2019,Ghana,64.455,71.14958191,3.25450468,0.103,49.6566317
GMB,2019,"Gambia, The",64.427,23.21861267,3.14534926,0.075,54.87329162
GRC,2019,Greece,81.63902439,1569.02905273,8.1982832,6.247,14.94190555
HRV,2019,Croatia,78.22439024,1040.08569336,6.7431674,6.931,15.91485399
HUN,2019,Hungary,76.3195122,1054.28076172,6.28167295,3.493,14.64123544
