"Water Control Zone","Station","Sampling Date (MM/YYYY)","Dissolved Oxygen (mg/L)","5-day Biochemical Oxygen Demand (mg/L)"
"Deep Bay","DM3","11/2023","6","0.2"
"Deep Bay","DM3","12/2023","6.7","0.6"
"Deep Bay","DM3","01/2024","7.9","0.9"
"Deep Bay","DM3","02/2024","6","0.8"
"Deep Bay","DM3","03/2024","5.7","<0.1"
"Deep Bay","DM3","04/2024","5.2","0.3"
"Deep Bay","DM3","05/2024","5.3","0.2"
"Deep Bay","DM3","06/2024","7.9","1.8"
"Deep Bay","DM3","07/2024","4.2","<0.1"
"Deep Bay","DM3","08/2024","8","0.6"
"Deep Bay","DM3","09/2024","6.6","<0.1"
"Deep Bay","DM3","10/2024","6.5","0.2"
"Deep Bay","DM3","11/2024","6.6","<0.1"
"Deep Bay","DM3","12/2024","8.2","1.9"
"Deep Bay","DM3","01/2025","8.9","0.7"
"Deep Bay","DM3","02/2025","9","5.2"
"Deep Bay","DM3","03/2025","5.7","0.3"
"Deep Bay","DM3","04/2025","8.3","0.2"
"Deep Bay","DM3","05/2025","5","0.4"
"Deep Bay","DM3","06/2025","5.3","0.4"
"Deep Bay","DM3","07/2025","6.4","1"
"Deep Bay","DM3","08/2025","4.5","0.2"
"Deep Bay","DM3","09/2025","5.1","<0.1"
"Deep Bay","DM3","10/2025","7.7","0.5"
"Eastern Buffer","EM2","11/2023","6.3","0.4"
"Eastern Buffer","EM2","12/2023","6","0.8"
"Eastern Buffer","EM2","01/2024","7.4","0.5"
"Eastern Buffer","EM2","02/2024","7","0.3"
"Eastern Buffer","EM2","03/2024","7","1.9"
"Eastern Buffer","EM2","04/2024","6.2","0.4"
"Eastern Buffer","EM2","05/2024","5.6","<0.1"
"Eastern Buffer","EM2","06/2024","5.1","1.7"
"Eastern Buffer","EM2","07/2024","5","1.1"
"Eastern Buffer","EM2","08/2024","4.2","0.4"
"Eastern Buffer","EM2","09/2024","4.6","1.3"
"Eastern Buffer","EM2","10/2024","4.4","<0.1"
"Eastern Buffer","EM2","11/2024","4.7","0.9"
"Eastern Buffer","EM2","12/2024","6.7","0.5"
"Eastern Buffer","EM2","01/2025","6.1","0.5"
"Eastern Buffer","EM2","02/2025","6.8","0.9"
"Eastern Buffer","EM2","03/2025","6.9","0.6"
"Eastern Buffer","EM2","04/2025","4.9","0.9"
"Eastern Buffer","EM2","05/2025","5.8","0.3"
"Eastern Buffer","EM2","06/2025","4.6","0.4"
"Eastern Buffer","EM2","07/2025","5.9","1.1"
"Eastern Buffer","EM2","08/2025","5.3","0.1"
"Eastern Buffer","EM2","09/2025","3.4","0.2"
"Eastern Buffer","EM2","10/2025","5.3","0.6"
"Junk Bay","JM4","11/2023","5","0.4"
"Junk Bay","JM4","12/2023","6.4","0.7"
"Junk Bay","JM4","01/2024","7.8","0.6"
"Junk Bay","JM4","02/2024","6.9","0.1"
"Junk Bay","JM4","03/2024","6.1","1.4"
"Junk Bay","JM4","04/2024","5.7","0.5"
"Junk Bay","JM4","05/2024","5.8","<0.1"
"Junk Bay","JM4","06/2024","4.9","1.9"
"Junk Bay","JM4","07/2024","7.8","0.7"
"Junk Bay","JM4","08/2024","4.1","0.4"
"Junk Bay","JM4","09/2024","5","0.9"
"Junk Bay","JM4","10/2024","4.7","1"
"Junk Bay","JM4","11/2024","4.4","0.2"
"Junk Bay","JM4","12/2024","6.5","0.3"
"Junk Bay","JM4","01/2025","6.8","0.5"
"Junk Bay","JM4","02/2025","7","0.8"
"Junk Bay","JM4","03/2025","6.7","0.2"
"Junk Bay","JM4","04/2025","8.6","0.8"
"Junk Bay","JM4","05/2025","5.8","0.5"
"Junk Bay","JM4","06/2025","4.1","0.4"
"Junk Bay","JM4","07/2025","6.5","2.4"
"Junk Bay","JM4","08/2025","5.4","<0.1"
"Junk Bay","JM4","09/2025","3.4","1"
"Junk Bay","JM4","10/2025","5.6","0.7"
"Mirs Bay","MM15","11/2023","6.3","0.7"
"Mirs Bay","MM15","12/2023","6.4","0.2"
"Mirs Bay","MM15","01/2024","6.8","<0.1"
"Mirs Bay","MM15","02/2024","7.2","0.5"
"Mirs Bay","MM15","03/2024","7.4","<0.1"
"Mirs Bay","MM15","04/2024","6.4","0.3"
"Mirs Bay","MM15","05/2024","5.2","0.8"
"Mirs Bay","MM15","06/2024","5.3","0.2"
"Mirs Bay","MM15","07/2024","5.2","0.5"
"Mirs Bay","MM15","08/2024","5","0.2"
"Mirs Bay","MM15","09/2024","5.2","0.8"
"Mirs Bay","MM15","10/2024","5","<0.1"
"Mirs Bay","MM15","11/2024","5.5","0.1"
"Mirs Bay","MM15","12/2024","6.3","0.8"
"Mirs Bay","MM15","01/2025","7.2","0.6"
"Mirs Bay","MM15","02/2025","6.8","1.4"
"Mirs Bay","MM15","03/2025","7.4","0.2"
"Mirs Bay","MM15","04/2025","8.9","0.2"
"Mirs Bay","MM15","05/2025","6.1","0.4"
"Mirs Bay","MM15","06/2025","6.1","0.1"
"Mirs Bay","MM15","07/2025","5.6","1.2"
"Mirs Bay","MM15","08/2025","4.5","0.3"
"Mirs Bay","MM15","09/2025","5.7","0.3"
"Mirs Bay","MM15","10/2025","5.1","<0.1"
"North Western","NM3","11/2023","6.5","0.4"
"North Western","NM3","12/2023","6","0.5"
"North Western","NM3","01/2024","7.6","0.1"
"North Western","NM3","02/2024","6.5","0.6"
"North Western","NM3","03/2024","6.3","0.2"
"North Western","NM3","04/2024","6.5","1.3"
"North Western","NM3","05/2024","7","3.6"
"North Western","NM3","06/2024","4.8","0.8"
"North Western","NM3","07/2024","6.1","1.1"
"North Western","NM3","08/2024","5.1","0.7"
"North Western","NM3","09/2024","5.1","0.2"
"North Western","NM3","10/2024","5.1","0.7"
"North Western","NM3","11/2024","4.8","<0.1"
"North Western","NM3","12/2024","5.6","0.5"
"North Western","NM3","01/2025","7","0.6"
"North Western","NM3","02/2025","7.2","<0.1"
"North Western","NM3","03/2025","6.6","0.9"
"North Western","NM3","04/2025","8.9","0.3"
"North Western","NM3","05/2025","5.8","0.8"
"North Western","NM3","06/2025","5.3","0.3"
"North Western","NM3","07/2025","3.1","<0.1"
"North Western","NM3","08/2025","3.4","0.8"
"North Western","NM3","09/2025","4.8","1"
"North Western","NM3","10/2025","4.7","0.3"
"Port Shelter","PM7","11/2023","6.2","<0.1"
"Port Shelter","PM7","12/2023","6.2","0.5"
"Port Shelter","PM7","01/2024","7","0.2"
"Port Shelter","PM7","02/2024","7.1","0.4"
"Port Shelter","PM7","03/2024","6.6","0.5"
"Port Shelter","PM7","04/2024","6.5","0.9"
"Port Shelter","PM7","05/2024","5.7","<0.1"
"Port Shelter","PM7","06/2024","5.1","0.3"
"Port Shelter","PM7","07/2024","5.5","0.8"
"Port Shelter","PM7","08/2024","5.7","0.7"
"Port Shelter","PM7","09/2024","4.9","0.2"
"Port Shelter","PM7","10/2024","5","0.6"
"Port Shelter","PM7","11/2024","4.8","0.3"
"Port Shelter","PM7","12/2024","6.2","0.5"
"Port Shelter","PM7","01/2025","7.3","0.5"
"Port Shelter","PM7","02/2025","6.9","1.4"
"Port Shelter","PM7","03/2025","6.8","0.3"
"Port Shelter","PM7","04/2025","9","0.7"
"Port Shelter","PM7","05/2025","8.7","0.5"
"Port Shelter","PM7","06/2025","5.4","0.1"
